Comment,Designator,Footprint,LCSC Part #
LED 3mm diffused,"D1,D2,D3,D4",LED_D3.0mm,
2x20 2.54mm stacking header,J1,PinSocket_2x20_P2.54mm_Vertical,
JST-XH 3-pin right angle,J3,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
JST-XH 4-pin right angle,J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
JST-XH 8-pin right angle,J5,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,
180R 1/4W axial,"R3,R4,R5,R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
